Region,1st dose,2nd dose,Total doses,Publication_date
"Wales",2361787,2191445,4553232,2021-09-06
"Wales",2363623,2194075,4557698,2021-09-08
"Wales",2364393,2195417,4559810,2021-09-09
"Wales",2365263,2196957,4562220,2021-09-10
"Wales",2365263,2196957,4562220,2021-09-11
"Wales",2365263,2196957,4562220,2021-09-12
"Wales",2367402,2201389,4568791,2021-09-13
"Wales",2368124,2202393,4570517,2021-09-14
"Wales",2368524,2203362,4571886,2021-09-15
"Wales",2369721,2205101,4574822,2021-09-16
"Wales",2371337,2206377,4577714,2021-09-17
"Wales",2371337,2206377,4577714,2021-09-18
"Wales",2371337,2206377,4577714,2021-09-19
"Wales",2377009,2209568,4586577,2021-09-20
"Wales",2382032,2211226,4593258,2021-09-21
"Wales",2389201,2212397,4601598,2021-09-22
"Wales",2396636,2213459,4610095,2021-09-23
"Wales",2403572,2214247,4617819,2021-09-24
"Wales",2370711,2218515,4589226,2021-09-25
"Wales",NA,NA,NA,2021-09-26
"Wales",NA,NA,NA,2021-09-27
"Wales",2375494,2221612,4597106,2021-09-28
"Wales",2375943,2222202,4598145,2021-09-29
"Wales",2376313,2222830,4599143,2021-09-30
"Wales",2376708,2223545,4600253,2021-10-01
"Wales",2376708,2223545,4600253,2021-10-02
"Wales",2376708,2223545,4600253,2021-10-03
"Wales",2384331,2225525,4609856,2021-10-04
"Wales",2385134,2226140,4611274,2021-10-05
"Wales",2385622,2226708,4612330,2021-10-06
"Wales",2387746,2227522,4615268,2021-10-07
"Wales",2387746,2227522,4615268,2021-10-08
"Wales",2389159,2228122,4617281,2021-10-09
"Wales",2389159,2228122,4617281,2021-10-10
"Wales",2400694,2229956,4630650,2021-10-11
"Wales",2401771,2230674,4632445,2021-10-12
"Wales",2403211,2231804,4635015,2021-10-13
"Wales",2404237,2232967,4637204,2021-10-14
"Wales",2405335,2233773,4639108,2021-10-15
"Wales",2405335,2233773,4639108,2021-10-16
"Wales",2405335,2233773,4639108,2021-10-17
"Wales",2416793,2235723,4652516,2021-10-18
"Wales",2418115,2236392,4654507,2021-10-19
"Wales",2419276,2237199,4656475,2021-10-20
"Wales",2420558,2238258,4658816,2021-10-21
"Wales",2421700,2238954,4983245,2021-10-22
"Wales",2421700,2238954,4983245,2021-10-23
"Wales",2421700,2238954,4983245,2021-10-24
"Wales",2421700,2238954,4983245,2021-10-25
"Wales",16721,364176,5054813,2021-10-26
